,White_Name,White_Age,White_Rating,White_Title,Black_Name,Black_Age,Black_Rating,Black_Title,Result_White,White_Age_Squared,White_Rating_Squared,White_Age_Rating_CP,Black_Age_Squared,Black_Rating_Squared,Black_Age_Rating_CP
196,"Omonov,Asrorjon",2.333333333,2.541666667,FM,"Amar,Elham",3,6.458333333,IM,0.5,5.444444444,6.460069444,5.930555556,9,41.71006944,19.375
197,"Bilguun,Sumiya",4.333333333,6.45,GM,"Kasimov,Ali",3.333333333,3.45,FM,1,18.77777778,41.6025,27.95,11.11111111,11.9025,11.5
198,"Pranav,V",2.833333333,6.433333333,GM,"Ilkhomi,Jaloliddin",2.666666667,2.408333333,FM,1,8.027777778,41.38777778,18.22777778,7.111111111,5.800069444,6.422222222
199,"Terry,Renato",5.166666667,6.425,IM,"Yonal,Timur",2.166666667,1.283333333,CM,1,26.69444444,41.280625,33.19583333,4.694444444,1.646944444,2.780555556
200,"Ruck,Robert",7.666666667,6.416666667,GM,"Kuandykuly,Danis",1.666666667,0.458333333,Untitled,0,58.77777778,41.17361111,49.19444444,2.777777778,0.210069444,0.763888889
201,"Tregubenko,Nikolay",2.166666667,0.958333333,Untitled,"Zvjaginsev,Vadim",7.833333333,6.408333333,GM,0,4.694444444,0.918402778,2.076388889,61.36111111,41.06673611,50.19861111
202,"Bogdan,David",3.333333333,0.375,Untitled,"Harutyunyan,TigranK.",4.333333333,6.158333333,GM,0,11.11111111,0.140625,1.25,18.77777778,37.92506944,26.68611111
203,"Carlsen,Magnus",5.5,9.316666667,GM,"Petrosian,TigranL.",6.5,7.533333333,GM,1,30.25,86.80027778,51.24166667,42.25,56.75111111,48.96666667
204,"Ponkratov,Pavel",5.833333333,7.333333333,GM,"Rapport,Richard",4.5,8.625,GM,0,34.02777778,53.77777778,42.77777778,20.25,74.390625,38.8125
205,"Abdusattorov,Nodirbek",3.166666667,8.558333333,GM,"Narayanan,SL",4.166666667,7.383333333,GM,0,10.02777778,73.24506944,27.10138889,17.36111111,54.51361111,30.76388889
206,"Yu,Yangyi",4.833333333,8.325,GM,"Xiu,Deshun",5.666666667,7.325,GM,1,23.36111111,69.305625,40.2375,32.11111111,53.655625,41.50833333
207,"Murzin,Volodar",2.833333333,7.058333333,GM,"Vidit,SantoshGujrathi",4.833333333,8.258333333,GM,0.5,8.027777778,49.82006944,19.99861111,23.36111111,68.20006944,39.91527778
208,"Nihal,Sarin",3.166666667,8.058333333,GM,"Aravindh,ChithambaramVr.",4,7.275,GM,1,10.02777778,64.93673611,25.51805556,16,52.925625,29.1
209,"Daneshvar,Bardiya",2.833333333,6.416666667,GM,"Erigaisi,Arjun",3.333333333,7.95,GM,0,8.027777778,41.17361111,18.18055556,11.11111111,63.2025,26.5
210,"AntonGuijarro,David",4.666666667,7.708333333,GM,"Yakubboev,Nodirbek",3.5,7.2,GM,1,21.77777778,59.41840278,35.97222222,12.25,51.84,25.2
211,"Cheparinov,Ivan",6.166666667,7.65,GM,"Lysyj,Igor",6,7.058333333,GM,1,38.02777778,58.5225,47.175,36,49.82006944,42.35
212,"Matlakov,Maxim",5.333333333,7.633333333,GM,"Tsydypov,Zhamsaran",4.5,6.941666667,GM,1,28.44444444,58.26777778,40.71111111,20.25,48.18673611,31.2375
213,"Shimanov,Aleksandr",5.166666667,7.491666667,GM,"Ansat,Aldiyar",2.5,5.208333333,IM,1,26.69444444,56.12506944,38.70694444,6.25,27.12673611,13.02083333
214,"Bharath,SubramaniyamH",2.666666667,6.05,GM,"Xu,Xiangyu",4,7.483333333,GM,1,7.111111111,36.6025,16.13333333,16,56.00027778,29.93333333
215,"Seemann,Jakub",2.5,5.25,IM,"Gareyev,Timur",5.833333333,7.4,GM,0,6.25,27.5625,13.125,34.02777778,54.76,43.16666667
216,"Chigaev,Maksim",4.5,7.391666667,GM,"Isanzhulov,Arystan",3.333333333,4.991666667,IM,1,20.25,54.63673611,33.2625,11.11111111,24.91673611,16.63888889
217,"Duda,Jan-Krzysztof",4.166666667,8.933333333,GM,"Tabatabaei,M.Amin",3.666666667,7.3,GM,0.5,17.36111111,79.80444444,37.22222222,13.44444444,53.29,26.76666667
218,"Pichot,Alan",4.166666667,7.291666667,GM,"Vachier-Lagrave,Maxime",5.5,8.891666667,GM,0,17.36111111,53.16840278,30.38194444,30.25,79.06173611,48.90416667
219,"Aronian,Levon",6.833333333,8.85,GM,"Gorovets,Andrey",6,7.191666667,GM,1,46.69444444,78.3225,60.475,36,51.72006944,43.15
220,"Svidler,Peter",7.833333333,8.641666667,GM,"Dreev,Aleksey",9,7.141666667,GM,0.5,61.36111111,74.67840278,67.69305556,81,51.00340278,64.275
221,"Fedoseev,Vladimir",4.666666667,8.466666667,GM,"Ter-Sahakyan,Samvel",5,7.016666667,GM,1,21.77777778,71.68444444,39.51111111,25,49.23361111,35.08333333
222,"Holt,Conrad",5,7.066666667,GM,"Mamedyarov,Shakhriyar",6.333333333,8.458333333,GM,1,25,49.93777778,35.33333333,40.11111111,71.54340278,53.56944444
223,"Dubov,Daniil",4.5,8.433333333,GM,"Bai,Jinshi",4,7,GM,1,20.25,71.12111111,37.95,16,49,28
224,"Lazavik,Denis",2.833333333,6.741666667,GM,"Grischuk,Alexander",6.666666667,8.15,GM,0.5,8.027777778,45.45006944,19.10138889,44.44444444,66.4225,54.33333333
225,"Esipenko,Andrey",3.5,8.141666667,GM,"Tari,Aryan",4,7,GM,0.5,12.25,66.28673611,28.49583333,16,49,28
226,"VanForeest,Jorden",4,7.958333333,GM,"Demchenko,Anton",6,6.983333333,GM,1,16,63.33506944,31.83333333,36,48.76694444,41.9
227,"Fressinet,Laurent",7,7.933333333,GM,"Nesterov,Arseniy",3.333333333,6.95,GM,0.5,49,62.93777778,55.53333333,11.11111111,48.3025,23.16666667
228,"Kezin,Roman",4.666666667,6.641666667,IM,"Brunello,Sabino",5.666666667,7.925,GM,1,21.77777778,44.11173611,30.99444444,32.11111111,62.805625,44.90833333
229,"Maghsoodloo,Parham",3.833333333,7.866666667,GM,"Piorun,Kacper",5.333333333,6.808333333,GM,1,14.69444444,61.88444444,30.15555556,28.44444444,46.35340278,36.31111111
230,"Sychev,Klementy",4.5,6.508333333,GM,"Tomashevsky,Evgeny",6,7.85,GM,0.5,20.25,42.35840278,29.2875,36,61.6225,47.1
231,"Andreikin,Dmitry",5.5,7.741666667,GM,"Ivic,Velimir",3.5,6.741666667,GM,1,30.25,59.93340278,42.57916667,12.25,45.45006944,23.59583333
