,Tournament,White_Name,White_Age,White_Rating,White_Title,Black_Name,Black_Age,Black_Rating,Black_Title,Result_White,White_Age_Squared,White_Rating_Squared,White_Age_Rating_CP,Black_Age_Squared,Black_Rating_Squared,Black_Age_Rating_CP
42,TSM_24,"Ju, Wenjun",5.076923077,5.49000001,GM,"Vidit, Santosh Gujrathi",4.615384615,7.42,GM,0.5,25.77514793,30.14010011,27.87230774,21.30177515,55.0564,34.24615385
43,TSM_24,"Vidit, Santosh Gujrathi",4.615384615,7.42,GM,"Firouzja, Alireza",3.230769231,7.59000001,GM,1,21.30177515,55.0564,34.24615385,10.43786982,57.60810015,24.52153849
44,TSM_24,"Donchenko, Alexander",4,6.43,GM,"Ju, Wenjun",5.076923077,5.49000001,GM,0.5,16,41.3449,25.72,25.77514793,30.14010011,27.87230774
45,TSM_24,"Gukesh, D",2.769230769,7.24999999,GM,"Warmerdam, Max",3.692307692,6.25,GM,1,7.668639053,52.56249986,20.07692305,13.63313609,39.0625,23.07692308
46,TSM_24,"Praggnanandhaa, R",2.923076923,7.42999999,GM,"Van Foreest, Jorden",3.846153846,6.82,GM,0.5,8.544378698,55.20489985,21.71846151,14.79289941,46.5124,26.23076923
47,TSM_24,"Maghsoodloo, Parham",3.692307692,7.39999999,GM,"Nepomniachtchi, Ian",5.230769231,7.69,GM,0.5,13.63313609,54.75999985,27.32307689,27.36094675,59.1361,40.22461538
48,TSM_24,"Abdusattorov, Nodirbek",3.076923077,7.27,GM,"Giri, Anish",4.615384615,7.48999999,GM,1,9.467455621,52.8529,22.36923077,21.30177515,56.10009985,34.56923072
49,TSM_24,"Wei, Yi",3.846153846,7.39999999,GM,"Ding, Liren",4.923076923,7.80000001,GM,0.5,14.79289941,54.75999985,28.46153842,24.23668639,60.84000016,38.40000005
50,TSM_24,"Firouzja, Alireza",3.230769231,7.59000001,GM,"Ding, Liren",4.923076923,7.80000001,GM,1,10.43786982,57.60810015,24.52153849,24.23668639,60.84000016,38.40000005
51,TSM_24,"Giri, Anish",4.615384615,7.48999999,GM,"Wei, Yi",3.846153846,7.39999999,GM,0.5,21.30177515,56.10009985,34.56923072,14.79289941,54.75999985,28.46153842
52,TSM_24,"Nepomniachtchi, Ian",5.230769231,7.69,GM,"Abdusattorov, Nodirbek",3.076923077,7.27,GM,1,27.36094675,59.1361,40.22461538,9.467455621,52.8529,22.36923077
53,TSM_24,"Van Foreest, Jorden",3.846153846,6.82,GM,"Maghsoodloo, Parham",3.692307692,7.39999999,GM,0.5,14.79289941,46.5124,26.23076923,13.63313609,54.75999985,27.32307689
54,TSM_24,"Warmerdam, Max",3.692307692,6.25,GM,"Praggnanandhaa, R",2.923076923,7.42999999,GM,0.5,13.63313609,39.0625,23.07692308,8.544378698,55.20489985,21.71846151
55,TSM_24,"Ju, Wenjun",5.076923077,5.49000001,GM,"Gukesh, D",2.769230769,7.24999999,GM,0.5,25.77514793,30.14010011,27.87230774,7.668639053,52.56249986,20.07692305
56,TSM_24,"Vidit, Santosh Gujrathi",4.615384615,7.42,GM,"Donchenko, Alexander",4,6.43,GM,0.5,21.30177515,55.0564,34.24615385,16,41.3449,25.72
57,TSM_24,"Donchenko, Alexander",4,6.43,GM,"Firouzja, Alireza",3.230769231,7.59000001,GM,1,16,41.3449,25.72,10.43786982,57.60810015,24.52153849
58,TSM_24,"Gukesh, D",2.769230769,7.24999999,GM,"Vidit, Santosh Gujrathi",4.615384615,7.42,GM,0.5,7.668639053,52.56249986,20.07692305,21.30177515,55.0564,34.24615385
59,TSM_24,"Praggnanandhaa, R",2.923076923,7.42999999,GM,"Ju, Wenjun",5.076923077,5.49000001,GM,1,8.544378698,55.20489985,21.71846151,25.77514793,30.14010011,27.87230774
60,TSM_24,"Maghsoodloo, Parham",3.692307692,7.39999999,GM,"Warmerdam, Max",3.692307692,6.25,GM,1,13.63313609,54.75999985,27.32307689,13.63313609,39.0625,23.07692308
61,TSM_24,"Abdusattorov, Nodirbek",3.076923077,7.27,GM,"Van Foreest, Jorden",3.846153846,6.82,GM,1,9.467455621,52.8529,22.36923077,14.79289941,46.5124,26.23076923
62,TSM_24,"Wei, Yi",3.846153846,7.39999999,GM,"Nepomniachtchi, Ian",5.230769231,7.69,GM,1,14.79289941,54.75999985,28.46153842,27.36094675,59.1361,40.22461538
63,TSM_24,"Ding, Liren",4.923076923,7.80000001,GM,"Giri, Anish",4.615384615,7.48999999,GM,0.5,24.23668639,60.84000016,38.40000005,21.30177515,56.10009985,34.56923072
64,TSM_24,"Firouzja, Alireza",3.230769231,7.59000001,GM,"Giri, Anish",4.615384615,7.48999999,GM,0.5,10.43786982,57.60810015,24.52153849,21.30177515,56.10009985,34.56923072
65,TSM_24,"Nepomniachtchi, Ian",5.230769231,7.69,GM,"Ding, Liren",4.923076923,7.80000001,GM,1,27.36094675,59.1361,40.22461538,24.23668639,60.84000016,38.40000005
66,TSM_24,"Van Foreest, Jorden",3.846153846,6.82,GM,"Wei, Yi",3.846153846,7.39999999,GM,0.5,14.79289941,46.5124,26.23076923,14.79289941,54.75999985,28.46153842
67,TSM_24,"Warmerdam, Max",3.692307692,6.25,GM,"Abdusattorov, Nodirbek",3.076923077,7.27,GM,0,13.63313609,39.0625,23.07692308,9.467455621,52.8529,22.36923077
68,TSM_24,"Ju, Wenjun",5.076923077,5.49000001,GM,"Maghsoodloo, Parham",3.692307692,7.39999999,GM,0.5,25.77514793,30.14010011,27.87230774,13.63313609,54.75999985,27.32307689
69,TSM_24,"Vidit, Santosh Gujrathi",4.615384615,7.42,GM,"Praggnanandhaa, R",2.923076923,7.42999999,GM,0.5,21.30177515,55.0564,34.24615385,8.544378698,55.20489985,21.71846151
70,TSM_24,"Donchenko, Alexander",4,6.43,GM,"Gukesh, D",2.769230769,7.24999999,GM,0,16,41.3449,25.72,7.668639053,52.56249986,20.07692305
71,TSM_24,"Gukesh, D",2.769230769,7.24999999,GM,"Firouzja, Alireza",3.230769231,7.59000001,GM,0.5,7.668639053,52.56249986,20.07692305,10.43786982,57.60810015,24.52153849
72,TSM_24,"Praggnanandhaa, R",2.923076923,7.42999999,GM,"Donchenko, Alexander",4,6.43,GM,0.5,8.544378698,55.20489985,21.71846151,16,41.3449,25.72
73,TSM_24,"Maghsoodloo, Parham",3.692307692,7.39999999,GM,"Vidit, Santosh Gujrathi",4.615384615,7.42,GM,0,13.63313609,54.75999985,27.32307689,21.30177515,55.0564,34.24615385
74,TSM_24,"Abdusattorov, Nodirbek",3.076923077,7.27,GM,"Ju, Wenjun",5.076923077,5.49000001,GM,1,9.467455621,52.8529,22.36923077,25.77514793,30.14010011,27.87230774
75,TSM_24,"Wei, Yi",3.846153846,7.39999999,GM,"Warmerdam, Max",3.692307692,6.25,GM,1,14.79289941,54.75999985,28.46153842,13.63313609,39.0625,23.07692308
76,TSM_24,"Ding, Liren",4.923076923,7.80000001,GM,"Van Foreest, Jorden",3.846153846,6.82,GM,0.5,24.23668639,60.84000016,38.40000005,14.79289941,46.5124,26.23076923
77,TSM_24,"Giri, Anish",4.615384615,7.48999999,GM,"Nepomniachtchi, Ian",5.230769231,7.69,GM,0.5,21.30177515,56.10009985,34.56923072,27.36094675,59.1361,40.22461538
78,TSM_24,"Firouzja, Alireza",3.230769231,7.59000001,GM,"Nepomniachtchi, Ian",5.230769231,7.69,GM,1,10.43786982,57.60810015,24.52153849,27.36094675,59.1361,40.22461538
79,TSM_24,"Van Foreest, Jorden",3.846153846,6.82,GM,"Giri, Anish",4.615384615,7.48999999,GM,0,14.79289941,46.5124,26.23076923,21.30177515,56.10009985,34.56923072
80,TSM_24,"Warmerdam, Max",3.692307692,6.25,GM,"Ding, Liren",4.923076923,7.80000001,GM,0,13.63313609,39.0625,23.07692308,24.23668639,60.84000016,38.40000005
81,TSM_24,"Ju, Wenjun",5.076923077,5.49000001,GM,"Wei, Yi",3.846153846,7.39999999,GM,0,25.77514793,30.14010011,27.87230774,14.79289941,54.75999985,28.46153842
82,TSM_24,"Vidit, Santosh Gujrathi",4.615384615,7.42,GM,"Abdusattorov, Nodirbek",3.076923077,7.27,GM,1,21.30177515,55.0564,34.24615385,9.467455621,52.8529,22.36923077
83,TSM_24,"Donchenko, Alexander",4,6.43,GM,"Maghsoodloo, Parham",3.692307692,7.39999999,GM,0.5,16,41.3449,25.72,13.63313609,54.75999985,27.32307689
84,TSM_24,"Gukesh, D",2.769230769,7.24999999,GM,"Praggnanandhaa, R",2.923076923,7.42999999,GM,0.5,7.668639053,52.56249986,20.07692305,8.544378698,55.20489985,21.71846151
85,TSM_24,"Praggnanandhaa, R",2.923076923,7.42999999,GM,"Firouzja, Alireza",3.230769231,7.59000001,GM,0.5,8.544378698,55.20489985,21.71846151,10.43786982,57.60810015,24.52153849
